City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nuuk,64.1835,-51.7216,6.34,87,20,0.51,GL,1722820212
83,mirnyy,62.5353,113.9611,18.17,51,86,2.26,RU,1722819820
84,punta arenas,-53.15,-70.9167,-0.94,100,75,2.57,CL,1722820070
85,stanley,54.868,-1.6985,15.95,92,40,3.09,GB,1722819799
86,hot springs village,34.6655,-93.01,29.25,65,38,2.0,US,1722820216
87,muhldorf,48.25,12.5333,19.37,99,100,2.38,DE,1722820217
88,sao joao da barra,-21.6403,-41.0511,22.05,82,0,6.86,BR,1722819638
89,muyinga,-2.8333,30.3333,13.69,40,92,2.02,BI,1722820219
90,jamestown,42.097,-79.2353,22.8,64,0,3.09,US,1722819750
91,ar rutbah,33.0381,40.2848,26.99,41,0,6.17,IQ,1722820035
92,mana,5.6592,-53.7767,25.83,87,87,4.89,GF,1722820223
93,naberera,-4.2,36.9333,11.71,91,20,1.96,TZ,1722820224
94,neftegorsk,52.802,51.166,19.76,56,98,1.66,RU,1722820225
95,klyuchi,52.2667,79.1667,20.31,65,31,3.12,RU,1722820227
96,praia da vitoria,38.7333,-27.0667,24.31,94,0,3.28,PT,1722820228
97,punta alta,-38.8759,-62.0736,11.79,53,100,4.66,AR,1722820229
98,howrah,22.5892,88.3103,29.0,94,75,1.54,IN,1722820230
99,kresttsy,58.2452,32.5165,12.88,96,24,0.43,RU,1722820233
100,lebu,-37.6167,-73.65,10.25,92,100,13.27,CL,1722819795
101,tual,-5.6667,132.75,25.22,85,86,8.95,ID,1722820235
102,papatowai,-46.5619,169.4708,11.15,62,12,2.17,NZ,1722820236
103,bondoukou,8.0333,-2.8,21.44,90,51,1.99,CI,1722820237
104,santiago de cao,-7.9589,-79.2392,17.07,88,40,3.6,PE,1722820239
105,sitka,57.0531,-135.33,25.94,38,0,3.09,US,1722820070
106,saint-joseph,-21.3667,55.6167,18.21,76,21,2.72,RE,1722820241
107,novhorodka,48.3651,32.6578,18.66,70,87,3.21,UA,1722820242
108,kaiyuan,23.6977,103.3037,22.46,88,100,1.12,CN,1722820243
109,atlanta,33.749,-84.388,28.03,77,20,0.45,US,1722819999
110,arkhangel'sk,64.5401,40.5433,11.06,100,75,3.0,RU,1722820078
111,smithers,54.7804,-127.1743,27.91,23,36,2.0,CA,1722820204
112,isafjordur,66.0755,-23.124,8.1,85,100,8.09,IS,1722819774
113,saipan,15.1355,145.701,31.39,66,40,6.69,MP,1722819877
114,villa gesell,-37.2639,-56.973,9.47,69,13,4.38,AR,1722820250
115,geraldton,-28.7667,114.6,10.23,87,0,4.63,AU,1722820251
116,holualoa,19.6228,-155.9522,26.91,82,100,4.12,US,1722819837
117,letterkenny,54.95,-7.7333,17.31,99,100,3.88,IE,1722820253
118,ushuaia,-54.8,-68.3,-0.19,59,75,3.6,AR,1722819621
119,yayva,59.3303,57.2641,13.31,99,97,1.85,RU,1722820255
120,keflavik,64.0049,-22.5624,11.95,87,100,8.23,IS,1722819659
121,aioun,16.6614,-9.6149,29.71,62,99,5.42,MR,1722820257
122,al hudaydah,14.7978,42.9545,30.86,73,65,3.05,YE,1722820258
123,constantia,44.1833,28.65,19.38,72,5,4.22,RO,1722820259
124,tiksi,71.6872,128.8694,12.65,63,100,5.26,RU,1722819844
125,anadyr,64.75,177.4833,6.28,93,100,7.0,RU,1722819822
126,kimbe,-5.5502,150.1429,30.2,66,99,1.48,PG,1722820263
127,khandyga,62.6667,135.6,20.89,40,89,3.05,RU,1722819677
